Day,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
1,17.6,5.6,5.5,6.8,7.7,7.2,5.4,2.6,11.3,5.8,4.3,12.8
2,10.7,2.1,3.6,7.1,7.6,7.3,8.3,2.9,11.0,5.9,2.4,10.4
3,14.6,2.6,3.3,7.4,5.3,8.8,10.4,8.8,11.4,5.4,3.6,12.6
4,14.3,3.4,2.4,5.2,5.3,9.5,9.3,16.4,16.0,7.7,3.2,12.3
5,1.9,5.6,7.6,10.0,6.8,11.3,,12.6,12.0,5.1,4.5,6.8
6,6.1,7.8,5.3,2.7,6.1,10.6,,P 52.7,11.7,2.7,3.1,9.2
7,9.2,2.5,7.1,3.2,11.7,10.0,,P 44.1,18.5,3.1,,10.0
8,14.6,3.0,6.6,5.9,3.0,6.8,,P 35.8,18.3,2.6,,3.9
9,18.0,4.0,6.5,3.7,2.8,4.6,,27.3,13.5,1.9,4.3,1.8
10,12.0,5.7,3.7,4.0,2.5,6.9,,33.0,10.6,5.0,3.1,2.2
11,,2.3,3.3,5.1,3.1,6.9,28.0,,7.1,4.8,6.2,5.3
12,,1.7,4.8,4.6,3.7,6.7,24.9,7.7,4.3,1.7,4.7,4.7
13,,2.6,2.2,4.4,7.1,8.1,12.9,9.4,5.7,2.0,4.0,5.3
14,3.4,4.1,4.3,3.8,8.8,6.1,7.7,9.9,,1.7,4.2,1.6
15,7.7,3.8,,3.4,10.1,9.3,8.8,30.3,9.3,2.1,3.9,1.1
16,12.4,1.9,,2.6,5.2,10.4,11.1,P 40.6,7.7,5.1,1.6,1.3
17,13.0,2.0,5.6,2.5,5.4,11.6,11.2,23.8,8.5,3.0,4.0,4.4
18,7.2,3.2,,3.2,5.6,10.7,9.3,P 41.5,4.0,3.7,8.3,7.4
19,3.0,3.3,,5.2,7.9,15.4,7.4,32.0,6.5,1.4,11.8,15.2
20,7.7,1.8,3.9,3.3,16.1,10.6,4.0,14.8,2.1,3.3,7.2,13.5
21,9.7,1.9,4.1,3.5,12.3,10.8,6.0,9.9,3.6,4.7,6.1,13.8
22,6.3,4.5,1.4,3.8,7.1,8.9,5.1,6.3,3.7,3.4,7.7,19.4
23,1.8,2.9,4.9,4.7,3.5,4.7,6.1,5.0,6.3,3.2,4.4,1.2
24,9.7,2.8,4.5,5.3,2.8,4.5,19.2,8.6,9.8,3.5,2.2,.6
25,9.7,3.0,3.2,4.5,3.4,4.2,29.7,9.5,8.2,3.1,6.1,1.1
26,4.8,1.5,2.7,1.8,7.1,4.5,19.4,11.8,7.2,,7.3,.8
27,3.0,2.1,3.0,2.2,6.3,3.5,6.5,24.2,10.2,2.0,10.8,1.7
28,2.9,4.7,3.1,2.8,6.3,3.7,5.1,25.4,10.6,4.1,9.1,5.0
29,1.3,,7.5,6.8,6.5,3.2,6.4,22.3,5.0,5.8,9.3,8.6
30,3.8,,2.5,7.2,5.6,3.7,3.4,26.9,4.5,4.6,14.4,1.0
31,5.1,,4.3,,5.3,,3.8,10.0,,3.2,,2.3
